
Task2 Solution (Block Perspective) of Teaching Assistant:

        Block6: H2, C2, R6 (time=1.63)
        Block7: H2, C10, R2 (time=7.27)
        Block8: H2, C2, R3 (time=6.12)
        Block9: H2, C2, R2 (time=7.18)
        Block10: H2, C5, R2 (time=7.27)
        Block11: H0, C1, R4 (time=3.73)
        Block12: H2, C5, R6 (time=1.53)
        Block13: H2, C1, R4 (time=4.98)
        Block14: H2, C5, R4 (time=5.26)
        Block15: H2, C10, R4 (time=3.64)
        Block16: H4, C2, R6 (time=1.82)
        Block17: H4, C2, R4 (time=5.55)
        Block18: H4, C2, R3 (time=5.84)
        Block19: H2, C1, R3 (time=6.32)
        Block20: H2, C1, R5 (time=3.35)
        Block21: H2, C2, R4 (time=5.84)
        Block22: H0, C1, R2 (time=7.08)
        Block23: H2, C5, R1 (time=8.42)
        Block24: H2, C0, R1 (time=8.61)
        Block25: H4, C2, R5 (time=2.30)
        Block26: H2, C0, R5 (time=2.30)
        Block27: H0, C1, R3 (time=6.12)
        Block28: H0, C1, R1 (time=9.28)
        Block29: H2, C1, R1 (time=7.85)
        Block30: H2, C0, R4 (time=5.45)
        Block31: H2, C10, R6 (time=2.11)
        Block32: H0, C1, R5 (time=3.54)
        Block33: H2, C2, R1 (time=8.71)
        Block34: H2, C1, R6 (time=1.15)
        Block35: H2, C1, R2 (time=7.75)
        Block36: H2, C10, R3 (time=6.79)
        Block37: H2, C0, R6 (time=1.63)
        Block38: H4, C2, R2 (time=7.18)
        Block39: H2, C0, R2 (time=7.27)
        Block40: H4, C2, R1 (time=9.19)
        Block41: H2, C5, R3 (time=6.22)

Job8 obtains 2 cores (speed=24.05) and finishes at time 75.70:
        Block0: H0, C3, R1 (time=4.12)
        Block1: H2, C3, R13 (time=2.49)
        Block2: H2, C3, R1 (time=4.07)
        Block3: H2, C3, R19 (time=1.79)
        Block4: H2, C3, R33 (time=0.54)
        Block5: H2, C3, R25 (time=1.25)
        Block6: H0, C3, R21 (time=1.62)
        Block7: H2, C3, R12 (time=2.66)
        Block8: H0, C3, R7 (time=3.24)
        Block9: H0, C3, R28 (time=1.04)
        Block10: H2, C3, R29 (time=0.83)
        Block11: H2, C3, R31 (time=0.58)
        Block12: H2, C3, R4 (time=3.70)
        Block13: H0, C3, R19 (time=1.95)
        Block14: H0, C3, R20 (time=1.66)
        Block15: H0, C3, R2 (time=3.87)
        Block16: H0, C3, R9 (time=3.08)
        Block17: H2, C3, R22 (time=1.50)
        Block18: H0, C3, R27 (time=1.08)
        Block19: H2, C3, R16 (time=2.12)
        Block20: H2, C3, R24 (time=1.37)
        Block21: H2, C3, R10 (time=2.95)
        Block22: H2, C3, R6 (time=3.33)
        Block23: H0, C3, R3 (time=3.83)
        Block24: H0, C3, R11 (time=2.83)
        Block25: H0, C3, R15 (time=2.29)
        Block26: H2, C3, R3 (time=3.74)
        Block27: H2, C3, R32 (time=0.58)
        Block28: H0, C3, R23 (time=1.41)
        Block29: H0, C3, R14 (time=2.41)
        Block30: H2, C3, R34 (time=0.42)
        Block31: H0, C3, R17 (time=2.04)
        Block32: H2, C3, R7 (time=3.33)
        Block33: H0, C3, R26 (time=1.12)
        Block34: H0, C3, R25 (time=1.21)
        Block35: H0, C3, R4 (time=3.74)
        Block36: H2, C3, R30 (time=0.83)
        Block37: H2, C3, R18 (time=2.04)
        Block38: H2, C3, R21 (time=1.66)
        Block39: H2, C3, R27 (time=1.12)
        Block40: H0, C3, R22 (time=1.50)
        Block41: H2, C3, R28 (time=1.08)
        Block42: H2, C3, R11 (time=2.79)
        Block43: H2, C3, R20 (time=1.70)
        Block44: H2, C3, R9 (time=3.08)
        Block45: H0, C3, R16 (time=2.25)
        Block46: H0, C3, R12 (time=2.62)
        Block47: H2, C3, R15 (time=2.41)
        Block48: H0, C3, R31 (time=0.67)
        Block49: H2, C3, R23 (time=1.50)
        Block50: H2, C3, R5 (time=3.41)
        Block51: H0, C3, R33 (time=0.54)
        Block52: H0, C3, R10 (time=3.08)
        Block53: H0, C3, R32 (time=0.58)
        Block54: H2, C3, R8 (time=3.16)
        Block55: H0, C3, R18 (time=2.00)
        Block56: H0, C3, R5 (time=3.66)
        Block57: H0, C3, R6 (time=3.41)
        Block58: H0, C3, R24 (time=1.33)
        Block59: H0, C3, R13 (time=2.49)
        Block60: H0, C3, R29 (time=0.96)
        Block61: H0, C3, R30 (time=0.75)
        Block62: H2, C3, R26 (time=1.21)
        Block63: H2, C3, R2 (time=4.03)
        Block64: H2, C3, R14 (time=2.45)
        Block65: H0, C3, R8 (time=3.20)
        Block66: H2, C3, R17 (time=2.12)

Job9 obtains 3 cores (speed=15.30) and finishes at time 168.88:
        Block0: H2, C2, R63 (time=5.16)
        Block1: H4, C0, R1 (time=6.08)
        Block2: H4, C0, R6 (time=3.40)
        Block3: H4, C0, R3 (time=5.23)
        Block4: H4, C0, R9 (time=2.42)
        Block5: H3, C2, R8 (time=3.07)
        Block6: H3, C2, R4 (time=4.31)
        Block7: H3, C2, R1 (time=6.08)
        Block8: H4, C0, R10 (time=1.44)
        Block9: H2, C2, R70 (time=1.90)
        Block10: H2, C2, R71 (time=1.05)
        Block11: H2, C2, R65 (time=4.25)
        Block12: H2, C2, R61 (time=6.21)
        Block13: H3, C2, R7 (time=3.20)
        Block14: H3, C2, R11 (time=1.37)
        Block15: H4, C0, R7 (time=3.14)
        Block16: H2, C2, R69 (time=2.29)
        Block17: H4, C0, R2 (time=5.42)
        Block18: H2, C2, R64 (time=4.38)
        Block19: H2, C2, R68 (time=2.81)
        Block20: H3, C2, R9 (time=2.29)
        Block21: H4, C0, R5 (time=4.05)
        Block22: H3, C2, R2 (time=5.88)
        Block23: H4, C0, R8 (time=2.75)
        Block24: H2, C2, R66 (time=3.59)
        Block25: H2, C2, R62 (time=5.88)
        Block26: H2, C2, R67 (time=3.20)
        Block27: H3, C2, R10 (time=1.44)
        Block28: H3, C2, R6 (time=3.46)
        Block29: H4, C0, R11 (time=1.44)
        Block30: H3, C2, R5 (time=4.25)
        Block31: H3, C2, R3 (time=5.23)
        Block32: H4, C0, R4 (time=4.84)

Job10 obtains 1 cores (speed=20.00) and finishes at time 245.53:
        Block0: H0, C2, R12 (time=4.80)
        Block1: H0, C2, R15 (time=4.75)
        Block2: H0, C2, R39 (time=2.85)
        Block3: H0, C2, R19 (time=4.40)
        Block4: H0, C2, R26 (time=3.95)
        Block5: H0, C2, R30 (time=3.70)
        Block6: H0, C2, R45 (time=2.40)
        Block7: H0, C2, R56 (time=1.70)
        Block8: H0, C2, R31 (time=3.70)
        Block9: H0, C2, R51 (time=2.05)
        Block10: H0, C2, R32 (time=3.60)
        Block11: H0, C2, R53 (time=1.95)
        Block12: H0, C2, R61 (time=1.25)
        Block13: H0, C2, R34 (time=3.25)
        Block14: H0, C2, R33 (time=3.40)
        Block15: H0, C2, R57 (time=1.70)
        Block16: H0, C2, R40 (time=2.80)
        Block17: H0, C2, R48 (time=2.25)
        Block18: H0, C2, R52 (time=2.00)
        Block19: H0, C2, R11 (time=4.90)
        Block20: H0, C2, R66 (time=0.65)
        Block21: H0, C2, R70 (time=0.50)
        Block22: H0, C2, R44 (time=2.45)
        Block23: H0, C2, R13 (time=4.80)
        Block24: H0, C2, R42 (time=2.60)
        Block25: H0, C2, R69 (time=0.55)
        Block26: H0, C2, R24 (time=4.05)
        Block27: H0, C2, R64 (time=1.05)
        Block28: H0, C2, R41 (time=2.80)
        Block29: H0, C2, R8 (time=4.95)
        Block30: H0, C2, R37 (time=3.05)
        Block31: H0, C2, R9 (time=4.95)
        Block32: H0, C2, R17 (time=4.65)
        Block33: H0, C2, R27 (time=3.95)
        Block34: H0, C2, R14 (time=4.80)
        Block35: H0, C2, R47 (time=2.30)
        Block36: H0, C2, R59 (time=1.65)
        Block37: H0, C2, R29 (time=3.85)
        Block38: H0, C2, R23 (time=4.10)
        Block39: H0, C2, R67 (time=0.60)
        Block40: H0, C2, R35 (time=3.25)
        Block41: H0, C2, R18 (time=4.45)
        Block42: H0, C2, R46 (time=2.40)
        Block43: H0, C2, R62 (time=1.10)
        Block44: H0, C2, R68 (time=0.60)
        Block45: H0, C2, R20 (time=4.40)
        Block46: H0, C2, R58 (time=1.70)
        Block47: H0, C2, R63 (time=1.10)
        Block48: H0, C2, R60 (time=1.30)
        Block49: H0, C2, R50 (time=2.20)
        Block50: H0, C2, R38 (time=3.00)
        Block51: H0, C2, R25 (time=4.00)
        Block52: H0, C2, R22 (time=4.20)
        Block53: H0, C2, R28 (time=3.90)
        Block54: H0, C2, R43 (time=2.50)
        Block55: H0, C2, R65 (time=0.70)
        Block56: H0, C2, R16 (time=4.70)
        Block57: H0, C2, R49 (time=2.25)
        Block58: H0, C2, R54 (time=1.75)
        Block59: H0, C2, R36 (time=3.25)
        Block60: H0, C2, R10 (time=4.95)
        Block61: H0, C2, R21 (time=4.25)
        Block62: H0, C2, R55 (time=1.75)

Job11 obtains 1 cores (speed=36.00) and finishes at time 127.00:
        Block0: H2, C2, R19 (time=2.17)
        Block1: H2, C2, R22 (time=2.08)
        Block2: H2, C2, R50 (time=0.83)
        Block3: H2, C2, R44 (time=1.28)
        Block4: H2, C2, R40 (time=1.47)
        Block5: H2, C2, R12 (time=2.53)
        Block6: H2, C2, R27 (time=1.97)
        Block7: H2, C2, R20 (time=2.17)
        Block8: H2, C2, R25 (time=2.00)
        Block9: H2, C2, R21 (time=2.14)
        Block10: H2, C2, R48 (time=1.11)
        Block11: H2, C2, R41 (time=1.47)
        Block12: H2, C2, R57 (time=0.47)
        Block13: H2, C2, R16 (time=2.31)
        Block14: H2, C2, R8 (time=2.69)
        Block15: H2, C2, R24 (time=2.03)
        Block16: H2, C2, R47 (time=1.14)
        Block17: H2, C2, R46 (time=1.19)
        Block18: H2, C2, R10 (time=2.58)
        Block19: H2, C2, R14 (time=2.47)
        Block20: H2, C2, R31 (time=1.83)
        Block21: H2, C2, R43 (time=1.31)
        Block22: H2, C2, R60 (time=0.31)
        Block23: H2, C2, R52 (time=0.69)
        Block24: H2, C2, R38 (time=1.53)
        Block25: H2, C2, R23 (time=2.06)
        Block26: H2, C2, R37 (time=1.58)
        Block27: H2, C2, R13 (time=2.50)
        Block28: H2, C2, R32 (time=1.83)
        Block29: H2, C2, R54 (time=0.61)
        Block30: H2, C2, R34 (time=1.64)
        Block31: H2, C2, R26 (time=2.00)
        Block32: H2, C2, R17 (time=2.25)
        Block33: H2, C2, R33 (time=1.69)
        Block34: H2, C2, R30 (time=1.89)
        Block35: H2, C2, R35 (time=1.64)
        Block36: H2, C2, R59 (time=0.39)
        Block37: H2, C2, R56 (time=0.50)
        Block38: H2, C2, R49 (time=1.00)
        Block39: H2, C2, R39 (time=1.50)
        Block40: H2, C2, R58 (time=0.47)
        Block41: H2, C2, R55 (time=0.56)
        Block42: H2, C2, R18 (time=2.19)
        Block43: H2, C2, R11 (time=2.58)
        Block44: H2, C2, R53 (time=0.67)
        Block45: H2, C2, R28 (time=1.97)
        Block46: H2, C2, R36 (time=1.61)
        Block47: H2, C2, R51 (time=0.78)
        Block48: H2, C2, R29 (time=1.94)
        Block49: H2, C2, R9 (time=2.64)
        Block50: H2, C2, R42 (time=1.47)
        Block51: H2, C2, R15 (time=2.44)
        Block52: H2, C2, R45 (time=1.25)
        Block53: H2, C2, R7 (time=2.78)

Job12 obtains 4 cores (speed=3.88) and finishes at time 232.22:
        Block0: H2, C6, R3 (time=23.48)
        Block1: H4, C1, R14 (time=4.90)
        Block2: H4, C4, R1 (time=25.03)
        Block3: H4, C1, R10 (time=11.87)
        Block4: H4, C1, R11 (time=11.10)
        Block5: H2, C6, R10 (time=11.61)
        Block6: H2, C6, R12 (time=9.29)
        Block7: H2, C6, R8 (time=17.03)
        Block8: H4, C1, R2 (time=24.77)
        Block9: H4, C1, R1 (time=25.03)
        Block10: H3, C6, R3 (time=23.23)
        Block11: H4, C1, R5 (time=21.16)
        Block12: H3, C6, R5 (time=20.65)
        Block13: H4, C4, R10 (time=12.39)
        Block14: H4, C4, R13 (time=7.23)
        Block15: H3, C6, R11 (time=10.32)
        Block16: H4, C4, R3 (time=24.26)
        Block17: H2, C6, R11 (time=11.61)
        Block18: H3, C6, R15 (time=2.58)
        Block19: H3, C6, R4 (time=23.23)
        Block20: H3, C6, R10 (time=11.87)
        Block21: H3, C6, R2 (time=24.77)
        Block22: H3, C6, R9 (time=14.19)
        Block23: H2, C6, R14 (time=5.16)
        Block24: H4, C4, R11 (time=10.32)
        Block25: H3, C6, R8 (time=15.48)
        Block26: H3, C6, R14 (time=3.35)
        Block27: H4, C4, R4 (time=22.71)
        Block28: H2, C6, R4 (time=22.97)
        Block29: H2, C6, R1 (time=25.55)
        Block30: H4, C1, R9 (time=13.42)
        Block31: H4, C1, R6 (time=19.35)
        Block32: H2, C6, R7 (time=17.81)
        Block33: H4, C1, R12 (time=10.06)
        Block34: H3, C6, R7 (time=17.81)
        Block35: H4, C4, R2 (time=25.03)
        Block36: H2, C6, R9 (time=13.16)
        Block37: H2, C6, R6 (time=18.84)
        Block38: H4, C1, R3 (time=24.00)
