
Task1 Solution (Block Perspective) of Teaching Assistant:

        Block5: H0, C5, R2 (time=4.99)
        Block6: H0, C2, R2 (time=3.95)
        Block7: H0, C3, R2 (time=6.13)
        Block8: H0, C4, R1 (time=6.44)
        Block9: H0, C5, R1 (time=7.80)
        Block10: H0, C2, R1 (time=8.84)
        Block11: H0, C1, R1 (time=10.29)
        Block12: H0, C9, R2 (time=3.85)
        Block13: H0, C6, R2 (time=2.49)
        Block14: H0, C0, R1 (time=10.40)
        Block15: H0, C1, R2 (time=3.74)
        Block16: H0, C6, R1 (time=10.40)
        Block17: H0, C3, R1 (time=6.24)
        Block18: H0, C4, R3 (time=2.49)
        Block19: H0, C4, R2 (time=5.61)
        Block20: H0, C0, R2 (time=3.22)

Job13 obtains 1 cores (speed=23.00) and finishes at time 242.89:
        Block0: H0, C6, R60 (time=3.52)
        Block1: H0, C6, R62 (time=3.26)
        Block2: H0, C6, R63 (time=3.09)
        Block3: H0, C6, R67 (time=2.96)
        Block4: H0, C6, R79 (time=1.48)
        Block5: H0, C6, R82 (time=1.39)
        Block6: H0, C6, R53 (time=3.96)
        Block7: H0, C6, R77 (time=1.65)
        Block8: H0, C6, R64 (time=3.09)
        Block9: H0, C6, R55 (time=3.83)
        Block10: H0, C6, R59 (time=3.65)
        Block11: H0, C6, R83 (time=1.35)
        Block12: H0, C6, R78 (time=1.61)
        Block13: H0, C6, R52 (time=4.00)
        Block14: H0, C6, R76 (time=1.87)
        Block15: H0, C6, R73 (time=2.17)
        Block16: H0, C6, R61 (time=3.43)
        Block17: H0, C6, R50 (time=4.13)
        Block18: H0, C6, R80 (time=1.48)
        Block19: H0, C6, R81 (time=1.48)
        Block20: H0, C6, R69 (time=2.65)
        Block21: H0, C6, R85 (time=1.13)
        Block22: H0, C6, R88 (time=1.00)
        Block23: H0, C6, R65 (time=3.09)
        Block24: H0, C6, R86 (time=1.04)
        Block25: H0, C6, R56 (time=3.74)
        Block26: H0, C6, R57 (time=3.74)
        Block27: H0, C6, R66 (time=3.04)
        Block28: H0, C6, R68 (time=2.74)
        Block29: H0, C6, R84 (time=1.22)
        Block30: H0, C6, R74 (time=2.09)
        Block31: H0, C6, R87 (time=1.04)
        Block32: H0, C6, R49 (time=4.17)
        Block33: H0, C6, R58 (time=3.74)
        Block34: H0, C6, R71 (time=2.30)
        Block35: H0, C6, R54 (time=3.96)
        Block36: H0, C6, R70 (time=2.48)
        Block37: H0, C6, R75 (time=2.09)
        Block38: H0, C6, R72 (time=2.30)
        Block39: H0, C6, R51 (time=4.13)

Job14 obtains 9 cores (speed=11.88) and finishes at time 35.91:
        Block0: H0, C8, R4 (time=3.03)
        Block1: H0, C7, R3 (time=7.07)
        Block2: H0, C5, R5 (time=2.95)
        Block3: H0, C8, R5 (time=1.77)
        Block4: H0, C5, R6 (time=2.44)
        Block5: H0, C0, R5 (time=4.55)
        Block6: H0, C6, R5 (time=7.32)
        Block7: H0, C9, R5 (time=8.08)
        Block8: H0, C3, R4 (time=7.83)
        Block9: H0, C2, R4 (time=5.98)
        Block10: H0, C4, R5 (time=5.98)

Job15 obtains 9 cores (speed=8.36) and finishes at time 27.83:
        Block0: H0, C1, R3 (time=10.05)
        Block1: H0, C1, R4 (time=3.23)
        Block2: H0, C2, R3 (time=11.00)
        Block3: H0, C9, R4 (time=4.90)
        Block4: H0, C9, R3 (time=6.34)
        Block5: H0, C8, R3 (time=11.60)
        Block6: H0, C5, R4 (time=3.47)
        Block7: H0, C4, R4 (time=10.29)
        Block8: H0, C5, R3 (time=9.09)
        Block9: H0, C6, R3 (time=8.37)
        Block10: H0, C0, R4 (time=4.55)
        Block11: H0, C6, R4 (time=4.19)
        Block12: H0, C0, R3 (time=7.66)
        Block13: H0, C3, R3 (time=10.65)

Job16 obtains 3 cores (speed=19.78) and finishes at time 181.39:
        Block0: H0, C0, R28 (time=1.37)
        Block1: H0, C0, R24 (time=2.93)
        Block2: H0, C0, R18 (time=5.01)
        Block3: H0, C1, R19 (time=4.35)
        Block4: H0, C9, R28 (time=2.43)
        Block5: H0, C0, R29 (time=1.06)
        Block6: H0, C1, R26 (time=1.26)
        Block7: H0, C0, R20 (time=4.40)
        Block8: H0, C9, R23 (time=4.50)
        Block9: H0, C9, R24 (time=4.35)
        Block10: H0, C1, R18 (time=4.55)
        Block11: H0, C1, R23 (time=2.43)
        Block12: H0, C9, R22 (time=4.75)
        Block13: H0, C0, R22 (time=3.64)
        Block14: H0, C9, R26 (time=3.24)
        Block15: H0, C9, R29 (time=2.28)
        Block16: H0, C9, R21 (time=5.01)
        Block17: H0, C0, R23 (time=3.49)
        Block18: H0, C0, R21 (time=4.35)
        Block19: H0, C0, R19 (time=4.90)
        Block20: H0, C0, R26 (time=1.67)
        Block21: H0, C1, R27 (time=1.11)
        Block22: H0, C9, R25 (time=3.99)
        Block23: H0, C9, R27 (time=2.48)
        Block24: H0, C1, R20 (time=4.04)
        Block25: H0, C9, R31 (time=1.21)
